Task Id,BLEU Score
HumanEval/0,0.27048170758554296
HumanEval/1,0.04739507532387779
HumanEval/2,1.0
HumanEval/3,0.6031612036218008
HumanEval/4,0.14023424042019694
HumanEval/5,0.10802314890908067
HumanEval/6,0.08806842539359157
HumanEval/7,0.03342866121562732
HumanEval/8,0.21223633441554032
HumanEval/9,0.011433361115787456
HumanEval/10,0.25590356077469273
HumanEval/11,0.03102878467054691
HumanEval/12,0.23477883426250248
HumanEval/13,0.02221613141830968
HumanEval/14,0.08737167851715875
HumanEval/15,0.016891032976324306
HumanEval/16,0.021105340631872645
HumanEval/17,0.05601907817995057
HumanEval/18,0.1361658548186748
HumanEval/19,0.40376704816991255
HumanEval/20,0.14227980900528808
HumanEval/21,0.005697859151313652
HumanEval/22,0.0072658577559704465
HumanEval/23,0.017033186037639283
HumanEval/24,0.25960543805779895
HumanEval/25,0.22353037537016948
HumanEval/26,0.055177848898164926
HumanEval/27,0.006032401726201458
HumanEval/28,0.017033186037639283
HumanEval/29,0.017033186037639283
HumanEval/30,0.0169861974906263
HumanEval/31,0.2068764954672419
HumanEval/32,0.022479153118513083
HumanEval/33,0.1894020890042567
HumanEval/34,0.1495348781221221
HumanEval/35,0.0072658577559704465
HumanEval/36,0.5158015768242247
HumanEval/37,0.025863319306085313
HumanEval/38,0.8702397637697912
HumanEval/39,0.11095043671245404
HumanEval/40,0.3230444090662658
HumanEval/41,0.011231940108313073
HumanEval/42,1.0
HumanEval/43,0.030067609934128877
HumanEval/44,0.35630548449868954
HumanEval/45,0.10266900960803409
HumanEval/46,0.9551190479308641
HumanEval/47,0.06384875295507793
HumanEval/48,0.03303164318013808
HumanEval/49,0.3556537107066784
HumanEval/50,0.0
HumanEval/51,0.02253741272267485
HumanEval/52,0.022416933501922302
HumanEval/53,1.0
HumanEval/54,0.09554427922043669
HumanEval/55,0.3943996895930304
HumanEval/56,0.08078245916444435
HumanEval/57,0.4262815559749047
HumanEval/58,0.033031643180138064
HumanEval/59,0.05621071665433083
HumanEval/60,0.017395797375642234
HumanEval/61,0.16855632074966925
HumanEval/62,0.1487964117124549
HumanEval/63,0.8057137025938019
HumanEval/64,0.03551851328486764
HumanEval/65,0.23901565482017642
HumanEval/66,0.015276780223747026
HumanEval/67,0.034956162752843425
HumanEval/68,0.08000981634386346
HumanEval/69,0.03394854422852278
HumanEval/70,0.015890207245347555
HumanEval/71,0.10031191721760055
HumanEval/72,0.00898705062358146
HumanEval/73,0.28859523083492383
HumanEval/74,0.004520082205234763
HumanEval/75,0.16623373913368517
HumanEval/76,0.3430799506852667
HumanEval/77,0.005732293763835197
HumanEval/78,0.009410489957951634
HumanEval/79,0.036309066512747096
HumanEval/80,0.49809722097099235
HumanEval/81,0.018166146568060204
HumanEval/82,0.022379352592750163
HumanEval/83,0.18207052811092134
HumanEval/84,0.0067177027389942
HumanEval/85,0.3488783797973685
HumanEval/86,0.03440134693333791
HumanEval/87,0.1503400039489169
HumanEval/88,0.056066684111954215
HumanEval/89,0.022067713602073297
HumanEval/90,0.029883097780540872
HumanEval/91,0.0069228492760402315
HumanEval/92,0.02547134017057118
HumanEval/93,0.01064011414355274
HumanEval/94,0.010070319017053691
HumanEval/95,0.10917763738273828
HumanEval/96,0.10814410080481558
HumanEval/97,0.0169861974906263
HumanEval/98,0.35459684529390034
HumanEval/99,0.03183299787758537
HumanEval/100,0.18627639656696823
HumanEval/101,0.009109250643152446
HumanEval/102,0.14651860136741404
HumanEval/103,0.1572175759719851
HumanEval/104,0.09772992164303729
HumanEval/105,0.011660648851226097
HumanEval/106,0.1731049977855087
HumanEval/107,0.4194586780383904
HumanEval/108,0.007790345908226496
HumanEval/109,0.25557125511782486
HumanEval/110,0.037487570578416306
HumanEval/111,0.01667133532879895
HumanEval/112,0.02560744480557418
HumanEval/113,0.10540279742772932
HumanEval/114,0.023626998698784343
HumanEval/115,0.0889696287266969
HumanEval/116,0.012940749413893492
HumanEval/117,0.11211689577274028
HumanEval/118,0.11125187510930297
HumanEval/119,0.042279297521702994
HumanEval/120,0.11362193664674995
HumanEval/121,0.04877324444306589
HumanEval/122,0.00956240657444202
HumanEval/123,0.0640040731067511
HumanEval/124,0.10651789465036461
HumanEval/125,0.07205940156518365
HumanEval/126,0.010430060360608557
HumanEval/127,0.012143307164393926
HumanEval/128,0.021628820160963114
HumanEval/129,0.007720284975213914
HumanEval/130,0.11141294470814965
HumanEval/131,0.05863302646168854
HumanEval/132,0.010190738298997176
HumanEval/133,0.017033186037639283
HumanEval/134,0.05846112500518281
HumanEval/135,0.06922521376924558
HumanEval/136,0.0031291988544132512
HumanEval/137,0.011055446882286175
HumanEval/138,0.022934751368971395
HumanEval/139,0.08863388829112887
HumanEval/140,0.025897048865718798
HumanEval/141,0.03523755477067784
HumanEval/142,0.7131992424981134
HumanEval/143,0.017345333612331648
HumanEval/144,0.020053583653512706
HumanEval/145,0.018018299531677898
HumanEval/146,0.2350232752505059
HumanEval/147,0.10989581815552828
HumanEval/148,0.10573459289334466
HumanEval/149,0.06977093965985222
HumanEval/150,0.02566515399876159
HumanEval/151,0.0963274071288483
HumanEval/152,0.09578464408619825
HumanEval/153,0.10212178286063522
HumanEval/154,0.12675606378132004
HumanEval/155,0.0367483224173178
HumanEval/156,0.007219694801021364
HumanEval/157,0.0039240544574399286
HumanEval/158,0.16405298564986906
HumanEval/159,0.06799134307508922
HumanEval/160,0.054285521517746294
HumanEval/161,0.03218025292847049
HumanEval/162,0.10793498849599974
HumanEval/163,0.03459516500691775
